"","activity","subject","V2","variable","V1"
"82",1,5,"WALKING","tBodyAccMag-std()",-0.377178733392857
"83",1,5,"WALKING","tGravityAccMag-std()",-0.377178733392857
"84",1,5,"WALKING","tBodyAccJerkMag-std()",-0.282242276785714
"85",1,5,"WALKING","tBodyGyroMag-std()",-0.492176823571429
"86",1,5,"WALKING","tBodyGyroJerkMag-std()",-0.48919974625
"87",1,5,"WALKING","fBodyAccMag-std()",-0.519636926071429
"88",1,5,"WALKING","fBodyBodyAccJerkMag-std()",-0.305685376071429
"89",1,5,"WALKING","fBodyBodyGyroMag-std()",-0.589741506785714
"90",1,5,"WALKING","fBodyBodyGyroJerkMag-std()",-0.455665300892857
"91",1,6,"WALKING","tBodyAccMag-mean()",-0.166840713631579
"92",1,6,"WALKING","tGravityAccMag-mean()",-0.166840713631579
"93",1,6,"WALKING","tBodyAccJerkMag-mean()",-0.195117026052632
"94",1,6,"WALKING","tBodyGyroMag-mean()",-0.281207841122807
"95",1,6,"WALKING","tBodyGyroJerkMag-mean()",-0.321290483140351
"96",1,6,"WALKING","fBodyAccMag-mean()",-0.201386607649123
"97",1,6,"WALKING","fBodyBodyAccJerkMag-mean()",-0.055401423331579
"98",1,6,"WALKING","fBodyBodyGyroMag-mean()",-0.329681123368421
"99",1,6,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.366500534122807
"100",1,6,"WALKING","tBodyAccMag-std()",-0.266734167368421
"101",1,6,"WALKING","tGravityAccMag-std()",-0.266734167368421
"102",1,6,"WALKING","tBodyAccJerkMag-std()",-0.0706029648421053
"103",1,6,"WALKING","tBodyGyroMag-std()",-0.36560291677193
"104",1,6,"WALKING","tBodyGyroJerkMag-std()",-0.364708342315789
"105",1,6,"WALKING","fBodyAccMag-std()",-0.421683093508772
"106",1,6,"WALKING","fBodyBodyAccJerkMag-std()",-0.0964999702982456
"107",1,6,"WALKING","fBodyBodyGyroMag-std()",-0.510648322631579
"108",1,6,"WALKING","fBodyBodyGyroJerkMag-std()",-0.408078906482456
"109",1,7,"WALKING","tBodyAccMag-mean()",-0.0978090439438596
"110",1,7,"WALKING","tGravityAccMag-mean()",-0.0978090439438596
"111",1,7,"WALKING","tBodyAccJerkMag-mean()",-0.192948900438596
"112",1,7,"WALKING","tBodyGyroMag-mean()",-0.305959351403509
"113",1,7,"WALKING","tBodyGyroJerkMag-mean()",-0.300022779964912
"114",1,7,"WALKING","fBodyAccMag-mean()",-0.151243649578947
"115",1,7,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0384187298547368
"116",1,7,"WALKING","fBodyBodyGyroMag-mean()",-0.192909765467895
"117",1,7,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.155339855862632
"118",1,7,"WALKING","tBodyAccMag-std()",-0.198554708385965
"119",1,7,"WALKING","tGravityAccMag-std()",-0.198554708385965
"120",1,7,"WALKING","tBodyAccJerkMag-std()",-0.027557329277193
"121",1,7,"WALKING","tBodyGyroMag-std()",-0.19828316695614
"122",1,7,"WALKING","tBodyGyroJerkMag-std()",-0.0953401161070176
"123",1,7,"WALKING","fBodyAccMag-std()",-0.351706780526316
"124",1,7,"WALKING","fBodyBodyAccJerkMag-std()",-0.022138358
"125",1,7,"WALKING","fBodyBodyGyroMag-std()",-0.343894914947368
"126",1,7,"WALKING","fBodyBodyGyroJerkMag-std()",-0.0841663774087719
"127",1,8,"WALKING","tBodyAccMag-mean()",0.0516786278104167
"128",1,8,"WALKING","tGravityAccMag-mean()",0.0516786278104167
"129",1,8,"WALKING","tBodyAccJerkMag-mean()",-0.0668322430433333
"130",1,8,"WALKING","tBodyGyroMag-mean()",-0.00310243820125
"131",1,8,"WALKING","tBodyGyroJerkMag-mean()",-0.339129269583333
"132",1,8,"WALKING","fBodyAccMag-mean()",-0.09521728274375
"133",1,8,"WALKING","fBodyBodyAccJerkMag-mean()",-0.123834409766667
"134",1,8,"WALKING","fBodyBodyGyroMag-mean()",-0.301241848645833
"135",1,8,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.473026230833333
"136",1,8,"WALKING","tBodyAccMag-std()",-0.1804072826
"137",1,8,"WALKING","tGravityAccMag-std()",-0.1804072826
"138",1,8,"WALKING","tBodyAccJerkMag-std()",-0.184571053979167
"139",1,8,"WALKING","tBodyGyroMag-std()",-0.238746703958333
"140",1,8,"WALKING","tBodyGyroJerkMag-std()",-0.502957255416667
"141",1,8,"WALKING","fBodyAccMag-std()",-0.360818978541667
"142",1,8,"WALKING","fBodyBodyAccJerkMag-std()",-0.276436130125
"143",1,8,"WALKING","fBodyBodyGyroMag-std()",-0.327459577895833
"144",1,8,"WALKING","fBodyBodyGyroJerkMag-std()",-0.581240190833333
"145",1,9,"WALKING","tBodyAccMag-mean()",-0.244178950833333
"146",1,9,"WALKING","tGravityAccMag-mean()",-0.244178950833333
"147",1,9,"WALKING","tBodyAccJerkMag-mean()",-0.323925998958333
"148",1,9,"WALKING","tBodyGyroMag-mean()",-0.409743669791667
"149",1,9,"WALKING","tBodyGyroJerkMag-mean()",-0.503062289166667
"150",1,9,"WALKING","fBodyAccMag-mean()",-0.345588575208333
"151",1,9,"WALKING","fBodyBodyAccJerkMag-mean()",-0.259409642395833
"152",1,9,"WALKING","fBodyBodyGyroMag-mean()",-0.525991255208333
"153",1,9,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.577981781666667
"154",1,9,"WALKING","tBodyAccMag-std()",-0.388087958958333
"155",1,9,"WALKING","tGravityAccMag-std()",-0.388087958958333
"156",1,9,"WALKING","tBodyAccJerkMag-std()",-0.2400452566875
"157",1,9,"WALKING","tBodyGyroMag-std()",-0.512550419791667
"158",1,9,"WALKING","tBodyGyroJerkMag-std()",-0.527287959166667
"159",1,9,"WALKING","fBodyAccMag-std()",-0.508782517291667
"160",1,9,"WALKING","fBodyBodyAccJerkMag-std()",-0.222116976099167
"161",1,9,"WALKING","fBodyBodyGyroMag-std()",-0.58852015
"162",1,9,"WALKING","fBodyBodyGyroJerkMag-std()",-0.500363496041667
"163",1,10,"WALKING","tBodyAccMag-mean()",-0.136794540110909
"164",1,10,"WALKING","tGravityAccMag-mean()",-0.136794540110909
"165",1,10,"WALKING","tBodyAccJerkMag-mean()",-0.234196335781818
"166",1,10,"WALKING","tBodyGyroMag-mean()",-0.334943036909091
"167",1,10,"WALKING","tBodyGyroJerkMag-mean()",-0.436964155090909
"168",1,10,"WALKING","fBodyAccMag-mean()",-0.232253499509091
"169",1,10,"WALKING","fBodyBodyAccJerkMag-mean()",-0.138511318376364
"170",1,10,"WALKING","fBodyBodyGyroMag-mean()",-0.458807510363636
"171",1,10,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.517988546545455
"172",1,10,"WALKING","tBodyAccMag-std()",-0.309741406909091
"173",1,10,"WALKING","tGravityAccMag-std()",-0.309741406909091
"174",1,10,"WALKING","tBodyAccJerkMag-std()",-0.160319577454545
"175",1,10,"WALKING","tBodyGyroMag-std()",-0.473127105272727
"176",1,10,"WALKING","tBodyGyroJerkMag-std()",-0.486224016545455
"177",1,10,"WALKING","fBodyAccMag-std()",-0.466254880727273
"178",1,10,"WALKING","fBodyBodyAccJerkMag-std()",-0.195744803745455
"179",1,10,"WALKING","fBodyBodyGyroMag-std()",-0.579195331090909
"180",1,10,"WALKING","fBodyBodyGyroJerkMag-std()",-0.484705989454545
"181",1,11,"WALKING","tBodyAccMag-mean()",-0.288323472033898
"182",1,11,"WALKING","tGravityAccMag-mean()",-0.288323472033898
"183",1,11,"WALKING","tBodyAccJerkMag-mean()",-0.402333202033898
"184",1,11,"WALKING","tBodyGyroMag-mean()",-0.421801673559322
"185",1,11,"WALKING","tBodyGyroJerkMag-mean()",-0.63073270559322
"186",1,11,"WALKING","fBodyAccMag-mean()",-0.458514062542373
"187",1,11,"WALKING","fBodyBodyAccJerkMag-mean()",-0.395116134237288
"188",1,11,"WALKING","fBodyBodyGyroMag-mean()",-0.610222628813559
"189",1,11,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.751914457457627
"190",1,11,"WALKING","tBodyAccMag-std()",-0.487735915084746
"191",1,11,"WALKING","tGravityAccMag-std()",-0.487735915084746
"192",1,11,"WALKING","tBodyAccJerkMag-std()",-0.403141284745763
"193",1,11,"WALKING","tBodyGyroMag-std()",-0.558362783220339
"194",1,11,"WALKING","tBodyGyroJerkMag-std()",-0.753671416101695
"195",1,11,"WALKING","fBodyAccMag-std()",-0.584455992033898
"196",1,11,"WALKING","fBodyBodyAccJerkMag-std()",-0.41744681559322
"197",1,11,"WALKING","fBodyBodyGyroMag-std()",-0.59974543779661
"198",1,11,"WALKING","fBodyBodyGyroJerkMag-std()",-0.773574064745763
"199",1,12,"WALKING","tBodyAccMag-mean()",-0.136526334052632
"200",1,12,"WALKING","tGravityAccMag-mean()",-0.136526334052632
"201",1,12,"WALKING","tBodyAccJerkMag-mean()",-0.190649807473684
"202",1,12,"WALKING","tBodyGyroMag-mean()",-0.301615806385965
"203",1,12,"WALKING","tBodyGyroJerkMag-mean()",-0.277900658929825
"204",1,12,"WALKING","fBodyAccMag-mean()",-0.183882114508772
"205",1,12,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0686857239526316
"206",1,12,"WALKING","fBodyBodyGyroMag-mean()",-0.243953880035088
"207",1,12,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.23215871322807
"208",1,12,"WALKING","tBodyAccMag-std()",-0.237050911491228
"209",1,12,"WALKING","tGravityAccMag-std()",-0.237050911491228
"210",1,12,"WALKING","tBodyAccJerkMag-std()",-0.0800796373315789
"211",1,12,"WALKING","tBodyGyroMag-std()",-0.278677095894737
"212",1,12,"WALKING","tBodyGyroJerkMag-std()",-0.20958582992807
"213",1,12,"WALKING","fBodyAccMag-std()",-0.388845727894737
"214",1,12,"WALKING","fBodyBodyAccJerkMag-std()",-0.100977016192982
"215",1,12,"WALKING","fBodyBodyGyroMag-std()",-0.437397587719298
"216",1,12,"WALKING","fBodyBodyGyroJerkMag-std()",-0.237568200640351
"217",1,13,"WALKING","tBodyAccMag-mean()",-0.0237760549586207
"218",1,13,"WALKING","tGravityAccMag-mean()",-0.0237760549586207
"219",1,13,"WALKING","tBodyAccJerkMag-mean()",-0.117157038
"220",1,13,"WALKING","tBodyGyroMag-mean()",-0.103613340736207
"221",1,13,"WALKING","tBodyGyroJerkMag-mean()",-0.271798973241379
"222",1,13,"WALKING","fBodyAccMag-mean()",-0.101005201489655
"223",1,13,"WALKING","fBodyBodyAccJerkMag-mean()",-0.0572289381710345
"224",1,13,"WALKING","fBodyBodyGyroMag-mean()",-0.172741387356379
"225",1,13,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.256948320261552
"226",1,13,"WALKING","tBodyAccMag-std()",-0.17583559347931
"227",1,13,"WALKING","tGravityAccMag-std()",-0.17583559347931
"228",1,13,"WALKING","tBodyAccJerkMag-std()",-0.0729359173086207
"229",1,13,"WALKING","tBodyGyroMag-std()",-0.151124335112069
"230",1,13,"WALKING","tBodyGyroJerkMag-std()",-0.234507646624138
"231",1,13,"WALKING","fBodyAccMag-std()",-0.350191196206897
"232",1,13,"WALKING","fBodyBodyAccJerkMag-std()",-0.104957689982759
"233",1,13,"WALKING","fBodyBodyGyroMag-std()",-0.285660606568966
"234",1,13,"WALKING","fBodyBodyGyroJerkMag-std()",-0.264040210436207
"235",1,14,"WALKING","tBodyAccMag-mean()",-0.144404671779661
"236",1,14,"WALKING","tGravityAccMag-mean()",-0.144404671779661
"237",1,14,"WALKING","tBodyAccJerkMag-mean()",-0.377293155084746
"238",1,14,"WALKING","tBodyGyroMag-mean()",-0.137208741864407
"239",1,14,"WALKING","tBodyGyroJerkMag-mean()",-0.519895046779661
"240",1,14,"WALKING","fBodyAccMag-mean()",-0.373516771016949
"241",1,14,"WALKING","fBodyBodyAccJerkMag-mean()",-0.431591453389831
"242",1,14,"WALKING","fBodyBodyGyroMag-mean()",-0.311386449661017
"243",1,14,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.591036936101695
"244",1,14,"WALKING","tBodyAccMag-std()",-0.36380562779661
"245",1,14,"WALKING","tGravityAccMag-std()",-0.36380562779661
"246",1,14,"WALKING","tBodyAccJerkMag-std()",-0.439746918474576
"247",1,14,"WALKING","tBodyGyroMag-std()",-0.201401930542373
"248",1,14,"WALKING","tBodyGyroJerkMag-std()",-0.606103313898305
"249",1,14,"WALKING","fBodyAccMag-std()",-0.457490009491525
"250",1,14,"WALKING","fBodyBodyAccJerkMag-std()",-0.453426008983051
"251",1,14,"WALKING","fBodyBodyGyroMag-std()",-0.265504551525424
"252",1,14,"WALKING","fBodyBodyGyroJerkMag-std()",-0.65567766220339
"253",1,15,"WALKING","tBodyAccMag-mean()",-0.186514650759259
"254",1,15,"WALKING","tGravityAccMag-mean()",-0.186514650759259
"255",1,15,"WALKING","tBodyAccJerkMag-mean()",-0.320129322962963
"256",1,15,"WALKING","tBodyGyroMag-mean()",-0.243711124444444
"257",1,15,"WALKING","tBodyGyroJerkMag-mean()",-0.543979500555556
"258",1,15,"WALKING","fBodyAccMag-mean()",-0.275156242062037
"259",1,15,"WALKING","fBodyBodyAccJerkMag-mean()",-0.289753952407407
"260",1,15,"WALKING","fBodyBodyGyroMag-mean()",-0.489166383703704
"261",1,15,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.645075178148148
"262",1,15,"WALKING","tBodyAccMag-std()",-0.323878324074074
"263",1,15,"WALKING","tGravityAccMag-std()",-0.323878324074074
"264",1,15,"WALKING","tBodyAccJerkMag-std()",-0.310071425166667
"265",1,15,"WALKING","tBodyGyroMag-std()",-0.425798469148148
"266",1,15,"WALKING","tBodyGyroJerkMag-std()",-0.63778595537037
"267",1,15,"WALKING","fBodyAccMag-std()",-0.458344792407407
"268",1,15,"WALKING","fBodyBodyAccJerkMag-std()",-0.342411927851852
"269",1,15,"WALKING","fBodyBodyGyroMag-std()",-0.481750218518519
"270",1,15,"WALKING","fBodyBodyGyroJerkMag-std()",-0.654010147222222
"271",1,16,"WALKING","tBodyAccMag-mean()",-0.258766694117647
"272",1,16,"WALKING","tGravityAccMag-mean()",-0.258766694117647
"273",1,16,"WALKING","tBodyAccJerkMag-mean()",-0.363144483529412
"274",1,16,"WALKING","tBodyGyroMag-mean()",-0.485931932745098
"275",1,16,"WALKING","tBodyGyroJerkMag-mean()",-0.671541834117647
"276",1,16,"WALKING","fBodyAccMag-mean()",-0.410463241960784
"277",1,16,"WALKING","fBodyBodyAccJerkMag-mean()",-0.378278490588235
"278",1,16,"WALKING","fBodyBodyGyroMag-mean()",-0.669228540784314
"279",1,16,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.72068229
"280",1,16,"WALKING","tBodyAccMag-std()",-0.47180926745098
"281",1,16,"WALKING","tGravityAccMag-std()",-0.47180926745098
"282",1,16,"WALKING","tBodyAccJerkMag-std()",-0.403386563921569
"283",1,16,"WALKING","tBodyGyroMag-std()",-0.665078404313725
"284",1,16,"WALKING","tBodyGyroJerkMag-std()",-0.722808438431373
"285",1,16,"WALKING","fBodyAccMag-std()",-0.592150985098039
"286",1,16,"WALKING","fBodyBodyAccJerkMag-std()",-0.441447754509804
"287",1,16,"WALKING","fBodyBodyGyroMag-std()",-0.721137001568627
"288",1,16,"WALKING","fBodyBodyGyroJerkMag-std()",-0.745726853921569
"289",1,17,"WALKING","tBodyAccMag-mean()",-0.151151487704918
"290",1,17,"WALKING","tGravityAccMag-mean()",-0.151151487704918
"291",1,17,"WALKING","tBodyAccJerkMag-mean()",-0.301093269180328
"292",1,17,"WALKING","tBodyGyroMag-mean()",-0.335009836885246
"293",1,17,"WALKING","tBodyGyroJerkMag-mean()",-0.517167440655738
"294",1,17,"WALKING","fBodyAccMag-mean()",-0.429380043442623
"295",1,17,"WALKING","fBodyBodyAccJerkMag-mean()",-0.335938891803279
"296",1,17,"WALKING","fBodyBodyGyroMag-mean()",-0.518618058688525
"297",1,17,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.582711859672131
"298",1,17,"WALKING","tBodyAccMag-std()",-0.461837866885246
"299",1,17,"WALKING","tGravityAccMag-std()",-0.461837866885246
"300",1,17,"WALKING","tBodyAccJerkMag-std()",-0.275672786229508
"301",1,17,"WALKING","tBodyGyroMag-std()",-0.522494763606557
"302",1,17,"WALKING","tBodyGyroJerkMag-std()",-0.53970849147541
"303",1,17,"WALKING","fBodyAccMag-std()",-0.565162507704918
"304",1,17,"WALKING","fBodyBodyAccJerkMag-std()",-0.211231860180328
"305",1,17,"WALKING","fBodyBodyGyroMag-std()",-0.615320077704918
"306",1,17,"WALKING","fBodyBodyGyroJerkMag-std()",-0.520385479180328
"307",1,18,"WALKING","tBodyAccMag-mean()",-0.187373536341558
"308",1,18,"WALKING","tGravityAccMag-mean()",-0.187373536341558
"309",1,18,"WALKING","tBodyAccJerkMag-mean()",-0.307504227741299
"310",1,18,"WALKING","tBodyGyroMag-mean()",-0.327597298454026
"311",1,18,"WALKING","tBodyGyroJerkMag-mean()",-0.563823563636364
"312",1,18,"WALKING","fBodyAccMag-mean()",-0.3657201989
"313",1,18,"WALKING","fBodyBodyAccJerkMag-mean()",-0.324622114558442
"314",1,18,"WALKING","fBodyBodyGyroMag-mean()",-0.553000123506494
"315",1,18,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.689683099350649
"316",1,18,"WALKING","tBodyAccMag-std()",-0.408752786961039
"317",1,18,"WALKING","tGravityAccMag-std()",-0.408752786961039
"318",1,18,"WALKING","tBodyAccJerkMag-std()",-0.347078792519481
"319",1,18,"WALKING","tBodyGyroMag-std()",-0.497410217272727
"320",1,18,"WALKING","tBodyGyroJerkMag-std()",-0.697586679350649
"321",1,18,"WALKING","fBodyAccMag-std()",-0.526458472727273
"322",1,18,"WALKING","fBodyBodyAccJerkMag-std()",-0.382728280272727
"323",1,18,"WALKING","fBodyBodyGyroMag-std()",-0.546577115714286
"324",1,18,"WALKING","fBodyBodyGyroJerkMag-std()",-0.730265261558442
"325",1,19,"WALKING","tBodyAccMag-mean()",0.0648173438653846
"326",1,19,"WALKING","tGravityAccMag-mean()",0.0648173438653846
"327",1,19,"WALKING","tBodyAccJerkMag-mean()",0.109450990201923
"328",1,19,"WALKING","tBodyGyroMag-mean()",0.100045071430769
"329",1,19,"WALKING","tBodyGyroJerkMag-mean()",-0.164699977592308
"330",1,19,"WALKING","fBodyAccMag-mean()",0.0322272296217308
"331",1,19,"WALKING","fBodyBodyAccJerkMag-mean()",0.0730179928688462
"332",1,19,"WALKING","fBodyBodyGyroMag-mean()",-0.0952460452365385
"333",1,19,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.262442822846154
"334",1,19,"WALKING","tBodyAccMag-std()",-0.0993927171359615
"335",1,19,"WALKING","tGravityAccMag-std()",-0.0993927171359615
"336",1,19,"WALKING","tBodyAccJerkMag-std()",0.0356558788076923
"337",1,19,"WALKING","tBodyGyroMag-std()",-0.0218463165461538
"338",1,19,"WALKING","tBodyGyroJerkMag-std()",-0.271487480103846
"339",1,19,"WALKING","fBodyAccMag-std()",-0.324793406057692
"340",1,19,"WALKING","fBodyBodyAccJerkMag-std()",-0.0222869586038462
"341",1,19,"WALKING","fBodyBodyGyroMag-std()",-0.141598402309615
"342",1,19,"WALKING","fBodyBodyGyroJerkMag-std()",-0.336148733
"343",1,20,"WALKING","tBodyAccMag-mean()",-0.144404671779661
"344",1,20,"WALKING","tGravityAccMag-mean()",-0.144404671779661
"345",1,20,"WALKING","tBodyAccJerkMag-mean()",-0.377293155084746
"346",1,20,"WALKING","tBodyGyroMag-mean()",-0.137208741864407
"347",1,20,"WALKING","tBodyGyroJerkMag-mean()",-0.519895046779661
"348",1,20,"WALKING","fBodyAccMag-mean()",-0.373516771016949
"349",1,20,"WALKING","fBodyBodyAccJerkMag-mean()",-0.431591453389831
"350",1,20,"WALKING","fBodyBodyGyroMag-mean()",-0.311386449661017
"351",1,20,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.591036936101695
"352",1,20,"WALKING","tBodyAccMag-std()",-0.36380562779661
"353",1,20,"WALKING","tGravityAccMag-std()",-0.36380562779661
"354",1,20,"WALKING","tBodyAccJerkMag-std()",-0.439746918474576
"355",1,20,"WALKING","tBodyGyroMag-std()",-0.201401930542373
"356",1,20,"WALKING","tBodyGyroJerkMag-std()",-0.606103313898305
"357",1,20,"WALKING","fBodyAccMag-std()",-0.457490009491525
"358",1,20,"WALKING","fBodyBodyAccJerkMag-std()",-0.453426008983051
"359",1,20,"WALKING","fBodyBodyGyroMag-std()",-0.265504551525424
"360",1,20,"WALKING","fBodyBodyGyroJerkMag-std()",-0.65567766220339
"361",1,21,"WALKING","tBodyAccMag-mean()",-0.123455661519231
"362",1,21,"WALKING","tGravityAccMag-mean()",-0.123455661519231
"363",1,21,"WALKING","tBodyAccJerkMag-mean()",-0.148138991523077
"364",1,21,"WALKING","tBodyGyroMag-mean()",-0.284775644807692
"365",1,21,"WALKING","tBodyGyroJerkMag-mean()",-0.426930725
"366",1,21,"WALKING","fBodyAccMag-mean()",-0.251266388923077
"367",1,21,"WALKING","fBodyBodyAccJerkMag-mean()",-0.144009889665385
"368",1,21,"WALKING","fBodyBodyGyroMag-mean()",-0.409516081153846
"369",1,21,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.4995972025
"370",1,21,"WALKING","tBodyAccMag-std()",-0.299709752173077
"371",1,21,"WALKING","tGravityAccMag-std()",-0.299709752173077
"372",1,21,"WALKING","tBodyAccJerkMag-std()",-0.0838487968942308
"373",1,21,"WALKING","tBodyGyroMag-std()",-0.408304434423077
"374",1,21,"WALKING","tBodyGyroJerkMag-std()",-0.450369988846154
"375",1,21,"WALKING","fBodyAccMag-std()",-0.438149791153846
